,price,accommodates,review_scores_rating,gemiddelde WOZ-waarde,Gemiddelde Airbnb Prijs
273,110,4,,459254,140.3130970724191
274,80,4,98.0,459254,140.3130970724191
275,190,6,91.0,459254,140.3130970724191
276,49,1,98.0,459254,140.3130970724191
277,99,2,95.0,459254,140.3130970724191
278,119,4,90.0,459254,140.3130970724191
279,150,6,80.0,459254,140.3130970724191
280,80,2,92.0,459254,140.3130970724191
281,75,4,92.0,459254,140.3130970724191
282,175,4,92.0,459254,140.3130970724191
283,110,4,80.0,459254,140.3130970724191
284,90,1,85.0,459254,140.3130970724191
285,94,5,80.0,459254,140.3130970724191
286,200,4,97.0,459254,140.3130970724191
287,65,2,91.0,459254,140.3130970724191
288,104,2,100.0,459254,140.3130970724191
289,350,4,97.0,459254,140.3130970724191
290,95,4,100.0,459254,140.3130970724191
291,190,6,97.0,459254,140.3130970724191
292,160,4,100.0,459254,140.3130970724191
293,125,4,98.0,459254,140.3130970724191
294,117,2,95.0,459254,140.3130970724191
295,230,6,100.0,459254,140.3130970724191
296,250,8,100.0,459254,140.3130970724191
297,100,2,100.0,459254,140.3130970724191
298,84,2,93.0,459254,140.3130970724191
299,100,2,92.0,459254,140.3130970724191
300,150,4,91.0,459254,140.3130970724191
301,175,3,78.0,459254,140.3130970724191
302,160,3,87.0,459254,140.3130970724191
303,85,2,90.0,459254,140.3130970724191
304,100,4,97.0,459254,140.3130970724191
305,92,4,93.0,459254,140.3130970724191
306,99,3,95.0,459254,140.3130970724191
307,127,4,95.0,459254,140.3130970724191
308,160,2,93.0,459254,140.3130970724191
309,139,4,95.0,459254,140.3130970724191
310,110,2,96.0,459254,140.3130970724191
311,200,5,90.0,459254,140.3130970724191
312,189,5,,459254,140.3130970724191
313,85,2,95.0,459254,140.3130970724191
314,300,4,,459254,140.3130970724191
315,110,4,94.0,459254,140.3130970724191
316,80,2,,459254,140.3130970724191
317,65,2,94.0,459254,140.3130970724191
318,95,4,,459254,140.3130970724191
319,150,2,93.0,459254,140.3130970724191
320,120,2,84.0,459254,140.3130970724191
321,105,4,95.0,459254,140.3130970724191
322,99,2,97.0,459254,140.3130970724191
323,180,2,97.0,459254,140.3130970724191
324,125,2,90.0,459254,140.3130970724191
325,89,4,92.0,459254,140.3130970724191
326,150,4,96.0,459254,140.3130970724191
327,135,2,100.0,459254,140.3130970724191
328,135,3,98.0,459254,140.3130970724191
329,70,2,82.0,459254,140.3130970724191
330,149,3,96.0,459254,140.3130970724191
331,130,2,98.0,459254,140.3130970724191
332,300,6,97.0,459254,140.3130970724191
333,125,2,99.0,459254,140.3130970724191
334,100,2,97.0,459254,140.3130970724191
335,72,2,98.0,459254,140.3130970724191
336,99,2,96.0,459254,140.3130970724191
337,120,4,89.0,459254,140.3130970724191
338,130,2,95.0,459254,140.3130970724191
339,85,4,95.0,459254,140.3130970724191
340,180,4,100.0,459254,140.3130970724191
341,150,2,,459254,140.3130970724191
342,250,4,93.0,459254,140.3130970724191
343,99,2,,459254,140.3130970724191
344,127,4,95.0,459254,140.3130970724191
345,105,4,100.0,459254,140.3130970724191
346,383,12,90.0,459254,140.3130970724191
347,130,4,98.0,459254,140.3130970724191
348,199,2,97.0,459254,140.3130970724191
349,139,2,96.0,459254,140.3130970724191
350,250,2,94.0,459254,140.3130970724191
351,90,2,93.0,459254,140.3130970724191
352,90,2,97.0,459254,140.3130970724191
353,100,3,90.0,459254,140.3130970724191
354,100,4,90.0,459254,140.3130970724191
355,150,2,92.0,459254,140.3130970724191
356,59,1,88.0,459254,140.3130970724191
357,100,2,93.0,459254,140.3130970724191
358,90,2,96.0,459254,140.3130970724191
359,80,2,97.0,459254,140.3130970724191
360,130,4,96.0,459254,140.3130970724191
361,119,2,97.0,459254,140.3130970724191
362,250,4,96.0,459254,140.3130970724191
363,58,1,96.0,459254,140.3130970724191
364,79,2,97.0,459254,140.3130970724191
365,140,2,98.0,459254,140.3130970724191
366,200,6,93.0,459254,140.3130970724191
367,93,3,80.0,459254,140.3130970724191
368,60,2,90.0,459254,140.3130970724191
369,94,2,100.0,459254,140.3130970724191
370,180,4,100.0,459254,140.3130970724191
371,90,3,100.0,459254,140.3130970724191
372,200,4,92.0,459254,140.3130970724191
373,105,2,98.0,459254,140.3130970724191
374,115,4,93.0,459254,140.3130970724191
375,92,2,92.0,459254,140.3130970724191
376,99,4,80.0,459254,140.3130970724191
377,89,2,99.0,459254,140.3130970724191
378,149,4,95.0,459254,140.3130970724191
379,95,2,95.0,459254,140.3130970724191
380,149,2,99.0,459254,140.3130970724191
381,125,2,97.0,459254,140.3130970724191
382,127,2,100.0,459254,140.3130970724191
383,120,2,97.0,459254,140.3130970724191
384,130,2,93.0,459254,140.3130970724191
385,95,2,95.0,459254,140.3130970724191
386,300,5,99.0,459254,140.3130970724191
387,149,3,97.0,459254,140.3130970724191
388,30,2,,459254,140.3130970724191
389,69,2,98.0,459254,140.3130970724191
390,90,2,99.0,459254,140.3130970724191
391,152,4,98.0,459254,140.3130970724191
392,150,4,93.0,459254,140.3130970724191
393,190,5,96.0,459254,140.3130970724191
394,175,4,100.0,459254,140.3130970724191
395,119,2,100.0,459254,140.3130970724191
396,95,4,100.0,459254,140.3130970724191
397,70,1,96.0,459254,140.3130970724191
398,105,2,98.0,459254,140.3130970724191
399,100,4,90.0,459254,140.3130970724191
400,225,6,97.0,459254,140.3130970724191
401,120,4,100.0,459254,140.3130970724191
402,175,2,93.0,459254,140.3130970724191
403,110,2,100.0,459254,140.3130970724191
404,90,2,,459254,140.3130970724191
405,97,2,95.0,459254,140.3130970724191
406,200,4,90.0,459254,140.3130970724191
407,110,2,96.0,459254,140.3130970724191
408,100,3,96.0,459254,140.3130970724191
409,83,4,96.0,459254,140.3130970724191
410,48,1,98.0,459254,140.3130970724191
411,85,2,94.0,459254,140.3130970724191
412,495,16,92.0,459254,140.3130970724191
413,100,2,93.0,459254,140.3130970724191
414,105,4,91.0,459254,140.3130970724191
415,100,2,90.0,459254,140.3130970724191
416,150,3,80.0,459254,140.3130970724191
417,101,4,88.0,459254,140.3130970724191
418,150,2,98.0,459254,140.3130970724191
419,150,2,80.0,459254,140.3130970724191
420,175,4,97.0,459254,140.3130970724191
421,300,4,,459254,140.3130970724191
422,100,3,93.0,459254,140.3130970724191
423,75,3,90.0,459254,140.3130970724191
424,65,2,96.0,459254,140.3130970724191
425,79,2,95.0,459254,140.3130970724191
426,150,2,100.0,459254,140.3130970724191
427,97,2,96.0,459254,140.3130970724191
428,167,4,99.0,459254,140.3130970724191
429,110,2,97.0,459254,140.3130970724191
430,150,4,77.0,459254,140.3130970724191
431,125,2,99.0,459254,140.3130970724191
432,175,4,100.0,459254,140.3130970724191
433,90,4,100.0,459254,140.3130970724191
434,189,3,98.0,459254,140.3130970724191
435,65,2,98.0,459254,140.3130970724191
436,400,4,94.0,459254,140.3130970724191
437,185,2,100.0,459254,140.3130970724191
438,80,2,96.0,459254,140.3130970724191
439,90,2,85.0,459254,140.3130970724191
440,143,2,99.0,459254,140.3130970724191
441,119,2,98.0,459254,140.3130970724191
442,205,4,98.0,459254,140.3130970724191
443,95,4,94.0,459254,140.3130970724191
444,90,2,91.0,459254,140.3130970724191
445,60,2,90.0,459254,140.3130970724191
446,125,4,98.0,459254,140.3130970724191
447,100,2,91.0,459254,140.3130970724191
448,120,4,93.0,459254,140.3130970724191
449,185,2,100.0,459254,140.3130970724191
450,130,4,84.0,459254,140.3130970724191
451,67,2,89.0,459254,140.3130970724191
452,45,3,96.0,459254,140.3130970724191
453,249,4,100.0,459254,140.3130970724191
454,150,4,97.0,459254,140.3130970724191
455,185,4,98.0,459254,140.3130970724191
456,300,4,100.0,459254,140.3130970724191
457,220,5,97.0,459254,140.3130970724191
458,280,4,98.0,459254,140.3130970724191
459,133,2,93.0,459254,140.3130970724191
460,149,4,98.0,459254,140.3130970724191
461,80,2,100.0,459254,140.3130970724191
462,86,2,87.0,459254,140.3130970724191
463,125,2,96.0,459254,140.3130970724191
464,85,4,96.0,459254,140.3130970724191
465,260,4,99.0,459254,140.3130970724191
466,130,2,94.0,459254,140.3130970724191
467,125,2,90.0,459254,140.3130970724191
468,105,2,99.0,459254,140.3130970724191
469,95,2,95.0,459254,140.3130970724191
470,130,4,98.0,459254,140.3130970724191
471,182,4,98.0,459254,140.3130970724191
472,100,2,99.0,459254,140.3130970724191
473,350,5,98.0,459254,140.3130970724191
474,130,2,95.0,459254,140.3130970724191
475,120,5,94.0,459254,140.3130970724191
476,65,2,95.0,459254,140.3130970724191
477,175,4,93.0,459254,140.3130970724191
478,150,4,95.0,459254,140.3130970724191
479,105,2,82.0,459254,140.3130970724191
480,135,2,,459254,140.3130970724191
481,102,2,100.0,459254,140.3130970724191
482,105,2,80.0,459254,140.3130970724191
483,88,2,83.0,459254,140.3130970724191
484,105,2,93.0,459254,140.3130970724191
485,150,3,94.0,459254,140.3130970724191
486,120,2,96.0,459254,140.3130970724191
487,175,4,99.0,459254,140.3130970724191
488,59,1,89.0,459254,140.3130970724191
489,175,6,100.0,459254,140.3130970724191
490,175,4,94.0,459254,140.3130970724191
491,150,4,87.0,459254,140.3130970724191
492,87,2,95.0,459254,140.3130970724191
493,195,4,94.0,459254,140.3130970724191
494,499,7,100.0,459254,140.3130970724191
495,99,2,80.0,459254,140.3130970724191
496,175,5,98.0,459254,140.3130970724191
497,175,4,98.0,459254,140.3130970724191
498,90,3,100.0,459254,140.3130970724191
499,130,3,93.0,459254,140.3130970724191
500,120,4,92.0,459254,140.3130970724191
501,99,2,100.0,459254,140.3130970724191
502,89,3,97.0,459254,140.3130970724191
503,300,8,100.0,459254,140.3130970724191
